id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
8627,M,0.6,0.475,0.175,1.1345,0.5105,0.262,0.305,9
8628,I,0.42,0.34,0.1,0.317,0.1515,0.0655,0.095,8
8629,F,0.655,0.515,0.195,1.528,0.7245,0.3415,0.42,10
8630,F,0.64,0.485,0.215,1.676,0.44,0.3255,0.47,23
8631,M,0.715,0.555,0.215,1.7645,0.6115,0.3735,0.52,11
8632,F,0.58,0.465,0.15,0.9235,0.4235,0.1635,0.265,11
8633,F,0.605,0.455,0.12,1.0,0.469,0.212,0.305,12
8634,M,0.615,0.475,0.155,0.9685,0.4915,0.1885,0.31,11
8635,I,0.5,0.395,0.125,0.5945,0.327,0.1095,0.169,8
8636,M,0.665,0.505,0.19,1.4385,0.541,0.2815,0.555,22
8637,M,0.67,0.525,0.165,1.3715,0.6705,0.326,0.37,11
8638,F,0.515,0.4,0.125,0.742,0.282,0.1655,0.165,9
8639,I,0.375,0.275,0.1,0.228,0.1025,0.042,0.0725,7
8640,I,0.51,0.4,0.13,0.601,0.2695,0.1415,0.16,9
8641,I,0.42,0.31,0.115,0.3415,0.15,0.068,0.071,8
8642,M,0.615,0.475,0.17,1.09,0.3935,0.2615,0.345,14
8643,F,0.36,0.27,0.095,0.196,0.0675,0.034,0.08,8
8644,F,0.585,0.465,0.15,0.9705,0.4245,0.2215,0.2505,11
8645,M,0.575,0.47,0.145,0.98,0.4465,0.2195,0.22,10
8646,M,0.505,0.4,0.13,0.764,0.2845,0.1725,0.195,20
8647,I,0.41,0.305,0.115,0.3315,0.1515,0.0675,0.0985,8
8648,I,0.505,0.39,0.145,0.6255,0.2475,0.1445,0.17,9
8649,F,0.55,0.44,0.15,0.8275,0.2575,0.185,0.26,9
8650,M,0.575,0.45,0.135,0.737,0.325,0.189,0.237,12
8651,M,0.625,0.52,0.185,1.156,0.486,0.2565,0.395,11
8652,I,0.43,0.32,0.12,0.366,0.122,0.0905,0.095,7
8653,F,0.66,0.505,0.175,1.4275,0.625,0.3655,0.3865,10
8654,M,0.595,0.47,0.165,1.0915,0.47,0.1905,0.26,10
8655,I,0.43,0.325,0.1,0.3645,0.1575,0.0865,0.105,9
8656,M,0.565,0.435,0.145,0.8935,0.3285,0.1915,0.265,9
8657,M,0.68,0.525,0.18,1.6115,0.7645,0.3105,0.4375,9
8658,M,0.575,0.45,0.14,0.9765,0.43,0.2145,0.25,11
8659,I,0.375,0.285,0.085,0.2645,0.1215,0.065,0.05,6
8660,F,0.62,0.5,0.155,1.0265,0.4605,0.2145,0.34,12
8661,I,0.27,0.19,0.03,0.0875,0.0345,0.0215,0.0255,6
8662,F,0.545,0.435,0.19,1.1685,0.4305,0.2805,0.39,16
8663,I,0.445,0.335,0.12,0.4195,0.1705,0.08,0.12,7
8664,F,0.655,0.53,0.19,1.406,0.519,0.331,0.49,14
8665,I,0.375,0.285,0.095,0.26,0.1125,0.0575,0.07,7
8666,F,0.58,0.46,0.16,1.0105,0.401,0.259,0.3,15
8667,F,0.59,0.465,0.165,1.133,0.5255,0.257,0.305,11
8668,F,0.465,0.36,0.115,0.474,0.23,0.0945,0.12,7
8669,M,0.59,0.46,0.165,1.0385,0.4285,0.2245,0.295,10
8670,M,0.385,0.29,0.105,0.237,0.095,0.051,0.075,9
8671,I,0.565,0.435,0.14,0.7855,0.314,0.1405,0.285,9
8672,M,0.37,0.285,0.09,0.2765,0.0875,0.05,0.085,16
8673,F,0.515,0.4,0.13,0.8415,0.2725,0.1815,0.285,13
8674,M,0.735,0.535,0.19,1.477,0.6645,0.3095,0.48,11
8675,I,0.38,0.325,0.09,0.3245,0.1455,0.0605,0.095,7
8676,I,0.505,0.375,0.12,0.5725,0.246,0.1145,0.1515,8
8677,M,0.605,0.48,0.17,1.092,0.416,0.2455,0.4405,10
8678,M,0.55,0.43,0.14,0.8105,0.4245,0.1775,0.2,8
8679,I,0.605,0.47,0.165,0.8075,0.3595,0.1795,0.29,13
8680,M,0.58,0.455,0.145,0.8715,0.391,0.1615,0.245,9
8681,M,0.555,0.435,0.145,0.8395,0.3675,0.1905,0.245,10
8682,F,0.605,0.475,0.145,0.9225,0.435,0.1905,0.28,10
8683,M,0.605,0.495,0.175,1.3115,0.5775,0.2575,0.3485,11
8684,I,0.27,0.205,0.07,0.1235,0.0515,0.019,0.0305,5
8685,F,0.47,0.37,0.11,0.4705,0.1845,0.1055,0.155,9
8686,F,0.59,0.45,0.155,1.077,0.5135,0.2445,0.2595,9
8687,M,0.46,0.355,0.115,0.4495,0.1755,0.0935,0.15,9
8688,M,0.575,0.45,0.135,0.9215,0.354,0.2115,0.2365,9
8689,I,0.415,0.335,0.1,0.3685,0.16,0.0785,0.1035,7
8690,I,0.39,0.295,0.1,0.2555,0.1165,0.053,0.087,7
8691,I,0.535,0.4,0.14,0.599,0.2595,0.149,0.169,8
8692,I,0.435,0.32,0.11,0.4015,0.199,0.0885,0.1,8
8693,M,0.53,0.41,0.13,0.66,0.28,0.1375,0.22,8
8694,I,0.485,0.39,0.12,0.6265,0.2285,0.1145,0.17,9
8695,M,0.5,0.385,0.125,0.6335,0.2895,0.1325,0.175,9
8696,I,0.435,0.315,0.095,0.355,0.1685,0.074,0.096,6
8697,I,0.375,0.28,0.09,0.2735,0.115,0.065,0.08,7
8698,M,0.57,0.46,0.15,0.9885,0.4475,0.2105,0.285,11
8699,F,0.495,0.385,0.125,0.6125,0.2765,0.1315,0.185,8
8700,F,0.605,0.49,0.165,1.1015,0.4145,0.2495,0.335,11
8701,M,0.625,0.47,0.16,1.0405,0.5195,0.2405,0.285,9
8702,M,0.58,0.455,0.145,0.9625,0.4375,0.1885,0.2475,8
8703,M,0.655,0.485,0.185,1.4355,0.545,0.3045,0.47,19
8704,F,0.695,0.56,0.2,1.8275,0.7455,0.3685,0.47,17
8705,M,0.605,0.455,0.16,1.1185,0.468,0.2385,0.38,9
8706,I,0.52,0.41,0.14,0.6385,0.2945,0.142,0.175,8
8707,I,0.44,0.34,0.1,0.3405,0.1335,0.0825,0.12,8
8708,I,0.465,0.335,0.11,0.414,0.211,0.09,0.15,8
8709,F,0.58,0.45,0.2,0.975,0.358,0.199,0.3,13
8710,I,0.445,0.335,0.115,0.3615,0.13,0.0795,0.1175,8
8711,F,0.575,0.445,0.135,0.8875,0.3725,0.2175,0.25,11
8712,I,0.355,0.265,0.085,0.201,0.0655,0.049,0.058,6
8713,M,0.63,0.505,0.175,1.1155,0.4085,0.2215,0.43,13
8714,M,0.545,0.44,0.135,0.7205,0.28,0.1635,0.225,12
8715,M,0.495,0.375,0.135,0.6355,0.2565,0.1465,0.18,9
8716,F,0.525,0.4,0.135,0.8265,0.3165,0.1755,0.19,8
8717,I,0.595,0.465,0.155,0.9845,0.44,0.2115,0.228,9
8718,M,0.55,0.44,0.165,0.9885,0.4575,0.2395,0.295,9
8719,M,0.655,0.525,0.175,1.443,0.7455,0.3005,0.391,11
8720,M,0.565,0.455,0.15,0.974,0.3685,0.1645,0.27,10
8721,F,0.435,0.345,0.11,0.3665,0.1485,0.0855,0.12,7
8722,M,0.545,0.435,0.14,0.879,0.339,0.1695,0.23,10
8723,I,0.52,0.4,0.115,0.597,0.2935,0.1155,0.16,8
8724,M,0.475,0.35,0.125,0.4775,0.2125,0.1065,0.125,8
8725,M,0.58,0.475,0.16,1.0875,0.5265,0.2225,0.28,9
8726,M,0.555,0.46,0.185,1.114,0.425,0.159,0.29,13
8727,I,0.365,0.26,0.085,0.192,0.0855,0.04,0.054,7
8728,I,0.38,0.3,0.095,0.304,0.1455,0.061,0.0885,7
8729,I,0.32,0.23,0.08,0.1495,0.0565,0.0345,0.049,6
8730,I,0.5,0.38,0.135,0.594,0.2945,0.095,0.1525,8
8731,M,0.67,0.515,0.175,1.521,0.4925,0.2645,0.515,19
8732,F,0.57,0.45,0.175,1.077,0.4155,0.2225,0.355,14
8733,M,0.625,0.505,0.16,1.1465,0.485,0.2555,0.32,8
8734,M,0.655,0.525,0.19,1.1835,0.547,0.2465,0.345,12
8735,I,0.18,0.13,0.045,0.03,0.0125,0.011,0.01,4
8736,M,0.575,0.47,0.165,1.0805,0.3845,0.2105,0.32,15
8737,I,0.38,0.285,0.1,0.233,0.093,0.0525,0.07,6
8738,I,0.575,0.42,0.125,0.6735,0.282,0.152,0.17,9
8739,I,0.6,0.45,0.11,0.5605,0.2255,0.1075,0.17,9
8740,I,0.325,0.225,0.07,0.139,0.0565,0.032,0.036,7
8741,M,0.62,0.48,0.16,1.056,0.5305,0.2335,0.276,8
8742,F,0.65,0.515,0.18,1.4025,0.5205,0.3275,0.435,19
8743,M,0.645,0.51,0.17,1.539,0.6115,0.4475,0.445,11
8744,M,0.535,0.425,0.12,0.857,0.3675,0.18,0.19,10
8745,I,0.555,0.425,0.145,0.6075,0.2465,0.1445,0.216,10
8746,F,0.56,0.435,0.16,0.96,0.4865,0.1785,0.228,10
8747,M,0.6,0.48,0.17,1.058,0.4865,0.2225,0.29,10
8748,I,0.27,0.2,0.065,0.1045,0.0465,0.0225,0.035,6
8749,I,0.415,0.305,0.105,0.335,0.1305,0.046,0.093,7
8750,M,0.35,0.265,0.085,0.197,0.0865,0.024,0.053,7
8751,M,0.655,0.505,0.175,1.2895,0.739,0.2705,0.355,10
8752,M,0.575,0.445,0.155,1.065,0.4935,0.2315,0.25,9
8753,I,0.48,0.41,0.125,0.648,0.2815,0.133,0.2105,8
8754,I,0.495,0.38,0.12,0.567,0.248,0.1335,0.185,8
8755,I,0.235,0.19,0.055,0.0515,0.0245,0.0185,0.017,3
8756,M,0.5,0.38,0.135,0.6635,0.3295,0.1245,0.1565,9
8757,M,0.57,0.435,0.16,0.8715,0.3895,0.199,0.223,8
8758,I,0.44,0.335,0.095,0.3625,0.167,0.0905,0.125,7
8759,I,0.33,0.255,0.07,0.1395,0.0545,0.042,0.054,6
8760,M,0.6,0.495,0.155,1.1405,0.581,0.263,0.32,10
8761,I,0.485,0.375,0.12,0.521,0.2,0.123,0.17,9
8762,I,0.395,0.29,0.09,0.2905,0.1235,0.061,0.087,6
8763,I,0.53,0.415,0.135,0.7155,0.3475,0.127,0.18,8
8764,I,0.33,0.265,0.075,0.203,0.0825,0.039,0.05,8
8765,F,0.585,0.455,0.155,0.945,0.4365,0.2465,0.27,12
8766,I,0.375,0.28,0.085,0.196,0.0875,0.036,0.065,6
8767,F,0.55,0.425,0.15,0.8435,0.3855,0.1575,0.215,10
8768,M,0.63,0.48,0.165,1.233,0.6565,0.2735,0.335,10
8769,F,0.43,0.34,0.1,0.382,0.154,0.082,0.109,8
8770,F,0.545,0.41,0.13,0.874,0.3645,0.2145,0.245,8
8771,F,0.57,0.44,0.175,1.0105,0.4235,0.237,0.3,17
8772,I,0.345,0.265,0.105,0.163,0.0615,0.037,0.0485,6
8773,F,0.575,0.45,0.15,0.9905,0.3845,0.2355,0.39,18
8774,I,0.5,0.35,0.115,0.4385,0.188,0.0855,0.1175,6
8775,M,0.62,0.52,0.185,1.6015,0.4635,0.3255,0.515,13
8776,M,0.515,0.38,0.12,0.5135,0.231,0.1305,0.17,9
8777,M,0.595,0.475,0.185,1.1665,0.5305,0.2535,0.295,15
8778,F,0.525,0.4,0.14,0.6375,0.2765,0.1245,0.225,10
8779,M,0.58,0.46,0.145,1.137,0.55,0.2225,0.285,9
8780,M,0.615,0.48,0.155,1.1155,0.5105,0.2255,0.28,9
8781,F,0.605,0.49,0.155,1.1845,0.479,0.2245,0.265,10
8782,F,0.665,0.525,0.185,1.3445,0.592,0.3175,0.4055,10
8783,F,0.525,0.4,0.16,0.8605,0.2865,0.161,0.29,15
8784,F,0.59,0.46,0.14,0.944,0.4455,0.1915,0.245,9
8785,M,0.615,0.53,0.205,1.3475,0.4435,0.2555,0.49,16
8786,I,0.475,0.36,0.11,0.4335,0.1795,0.091,0.12,8
8787,F,0.58,0.45,0.14,0.874,0.3745,0.2145,0.2315,9
8788,F,0.525,0.415,0.16,0.8415,0.3065,0.173,0.24,18
8789,F,0.325,0.25,0.075,0.174,0.0515,0.0265,0.05,10
8790,F,0.65,0.5,0.175,1.359,0.642,0.283,0.4755,15
8791,F,0.51,0.42,0.15,0.6965,0.3265,0.1485,0.225,12
8792,I,0.345,0.26,0.09,0.213,0.0925,0.049,0.07,5
8793,M,0.35,0.265,0.095,0.19,0.0795,0.053,0.063,8
8794,F,0.555,0.425,0.145,0.873,0.3615,0.1845,0.27,12
8795,I,0.405,0.29,0.09,0.3275,0.134,0.0755,0.078,6
8796,I,0.55,0.43,0.15,0.812,0.2845,0.15,0.245,17
8797,F,0.505,0.39,0.115,0.474,0.211,0.1075,0.155,9
8798,I,0.34,0.265,0.09,0.257,0.117,0.057,0.073,7
8799,M,0.61,0.475,0.145,1.1135,0.4275,0.2425,0.32,15
8800,F,0.455,0.35,0.135,0.452,0.1675,0.0995,0.13,14
8801,M,0.55,0.44,0.14,0.876,0.3595,0.1625,0.245,9
8802,M,0.47,0.35,0.125,0.4315,0.175,0.095,0.13,8
8803,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,11
8804,F,0.645,0.505,0.18,1.3745,0.6185,0.3345,0.345,10
8805,M,0.57,0.46,0.15,0.927,0.276,0.1835,0.345,10
8806,I,0.565,0.425,0.115,0.7775,0.436,0.173,0.1455,8
8807,F,0.505,0.395,0.12,0.712,0.2865,0.171,0.19,8
8808,F,0.725,0.52,0.19,1.6365,0.8005,0.3655,0.43,13
8809,I,0.575,0.44,0.135,0.771,0.3795,0.1625,0.24,8
8810,I,0.4,0.31,0.095,0.3045,0.1385,0.0635,0.08,6
8811,I,0.315,0.23,0.08,0.1575,0.0725,0.034,0.05,6
8812,M,0.545,0.44,0.135,0.873,0.3145,0.166,0.225,8
8813,I,0.465,0.355,0.12,0.4075,0.1515,0.0935,0.1355,8
8814,M,0.56,0.445,0.14,0.8295,0.3645,0.1715,0.24,9
8815,I,0.37,0.28,0.08,0.286,0.1285,0.0575,0.075,7
8816,M,0.575,0.46,0.205,1.2865,0.5825,0.3025,0.3235,9
8817,M,0.685,0.525,0.18,1.478,0.5815,0.381,0.372,12
8818,M,0.605,0.48,0.155,1.1345,0.4985,0.2375,0.3175,10
8819,I,0.36,0.29,0.09,0.2345,0.1045,0.0415,0.075,7
8820,I,0.225,0.17,0.06,0.0645,0.022,0.0185,0.015,4
8821,M,0.615,0.475,0.19,1.1745,0.4305,0.23,0.49,16
8822,I,0.585,0.465,0.155,0.9655,0.456,0.21,0.2615,7
8823,F,0.63,0.495,0.18,1.3315,0.6535,0.3005,0.335,11
8824,I,0.47,0.385,0.12,0.4775,0.2105,0.1085,0.17,9
8825,I,0.465,0.35,0.11,0.4075,0.1685,0.073,0.1225,8
8826,M,0.635,0.495,0.185,1.3035,0.4905,0.2535,0.465,11
8827,F,0.585,0.465,0.135,0.9895,0.401,0.216,0.29,10
8828,F,0.685,0.54,0.175,1.5545,0.6485,0.3565,0.395,13
8829,I,0.375,0.28,0.08,0.2235,0.108,0.0425,0.065,7
8830,F,0.69,0.54,0.195,1.519,0.7365,0.33,0.405,10
8831,F,0.525,0.425,0.13,0.7395,0.3305,0.1685,0.216,11
8832,M,0.62,0.5,0.185,1.3715,0.741,0.2705,0.37,10
8833,I,0.45,0.335,0.1,0.428,0.1895,0.1035,0.106,6
8834,M,0.495,0.385,0.115,0.5095,0.2275,0.0755,0.174,8
8835,F,0.59,0.445,0.16,0.837,0.37,0.187,0.24,8
8836,M,0.54,0.435,0.125,0.8025,0.343,0.1615,0.228,8
8837,M,0.525,0.4,0.14,0.744,0.352,0.1615,0.195,8
8838,F,0.56,0.45,0.145,0.927,0.4305,0.1825,0.24,9
8839,M,0.54,0.405,0.155,0.9245,0.419,0.2195,0.255,9
8840,I,0.39,0.3,0.09,0.2805,0.1255,0.0455,0.0825,8
8841,I,0.34,0.265,0.075,0.1825,0.08,0.038,0.048,6
8842,M,0.44,0.34,0.1,0.4005,0.143,0.091,0.12,8
8843,F,0.62,0.475,0.15,1.14,0.566,0.2445,0.27,9
8844,F,0.485,0.385,0.12,0.464,0.2105,0.1055,0.155,10
8845,F,0.53,0.405,0.145,0.5795,0.2635,0.148,0.205,9
8846,I,0.52,0.43,0.17,0.712,0.2555,0.1535,0.235,13
8847,M,0.595,0.465,0.18,1.0375,0.4285,0.2275,0.35,10
8848,F,0.65,0.515,0.175,1.218,0.5195,0.2985,0.37,10
8849,M,0.505,0.4,0.13,0.6125,0.2755,0.1465,0.185,8
8850,I,0.4,0.315,0.1,0.3315,0.1515,0.061,0.091,7
8851,I,0.405,0.3,0.1,0.2855,0.124,0.0635,0.0935,7
8852,I,0.58,0.46,0.17,0.874,0.3785,0.2135,0.2475,9
8853,I,0.515,0.38,0.135,0.578,0.2375,0.1065,0.19,9
8854,M,0.75,0.57,0.2,2.1055,1.133,0.407,0.515,11
8855,F,0.53,0.405,0.125,0.612,0.2505,0.12,0.195,9
8856,M,0.52,0.405,0.16,0.7575,0.2985,0.157,0.215,14
8857,F,0.5,0.38,0.145,0.5765,0.2395,0.135,0.185,12
8858,F,0.55,0.42,0.12,0.7155,0.3325,0.0935,0.204,9
8859,I,0.415,0.32,0.095,0.3785,0.167,0.076,0.065,7
8860,M,0.575,0.455,0.165,1.065,0.4865,0.199,0.2885,9
8861,I,0.5,0.385,0.11,0.599,0.3135,0.1315,0.175,8
8862,F,0.61,0.5,0.16,1.195,0.5575,0.2345,0.335,13
8863,M,0.5,0.4,0.15,1.0645,0.5265,0.2455,0.25,8
8864,F,0.67,0.525,0.165,1.3475,0.5985,0.2745,0.4075,9
8865,I,0.435,0.335,0.11,0.3875,0.1635,0.074,0.11,8
8866,M,0.525,0.405,0.14,0.6515,0.305,0.16,0.185,10
8867,I,0.25,0.18,0.065,0.071,0.0235,0.015,0.02,5
8868,I,0.575,0.445,0.16,0.995,0.504,0.182,0.235,9
8869,M,0.575,0.45,0.145,0.874,0.3775,0.1715,0.2575,9
8870,F,0.515,0.405,0.125,0.6935,0.3115,0.152,0.2,10
8871,F,0.525,0.415,0.14,0.7135,0.3495,0.1715,0.225,9
8872,F,0.64,0.495,0.16,1.3235,0.6765,0.2995,0.36,10
8873,F,0.51,0.39,0.135,0.7665,0.3045,0.175,0.195,11
8874,I,0.205,0.15,0.06,0.0685,0.0265,0.0175,0.015,5
8875,I,0.385,0.315,0.09,0.2895,0.113,0.0525,0.095,8
8876,M,0.61,0.47,0.17,1.2125,0.4605,0.2735,0.36,10
8877,M,0.58,0.455,0.175,0.9605,0.3385,0.1575,0.31,17
8878,I,0.2,0.15,0.05,0.042,0.0165,0.0125,0.016,5
8879,I,0.275,0.2,0.075,0.174,0.0705,0.0385,0.055,6
8880,I,0.475,0.355,0.11,0.4385,0.1895,0.099,0.11,8
8881,F,0.595,0.455,0.17,1.004,0.4865,0.2495,0.2675,9
8882,F,0.615,0.475,0.16,1.2415,0.5725,0.2895,0.309,9
8883,F,0.57,0.445,0.13,0.9245,0.4005,0.156,0.2295,10
8884,F,0.695,0.56,0.2,1.7365,0.4605,0.3105,0.515,18
8885,I,0.385,0.29,0.1,0.237,0.108,0.0395,0.082,6
8886,M,0.51,0.395,0.145,0.655,0.2355,0.1695,0.185,12
8887,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,11
8888,I,0.42,0.325,0.1,0.3645,0.1765,0.0795,0.09,7
8889,I,0.44,0.35,0.115,0.4265,0.1535,0.1055,0.14,14
8890,F,0.6,0.485,0.17,1.1405,0.547,0.223,0.305,9
8891,I,0.45,0.35,0.11,0.494,0.2295,0.0865,0.1065,6
8892,F,0.545,0.43,0.135,0.7635,0.2545,0.153,0.2425,9
8893,I,0.45,0.35,0.135,0.543,0.2245,0.0735,0.1435,7
8894,I,0.32,0.215,0.09,0.1575,0.054,0.0185,0.045,8
8895,M,0.585,0.455,0.165,0.9555,0.3685,0.18,0.335,16
8896,M,0.615,0.475,0.16,1.2215,0.6095,0.244,0.2725,9
8897,M,0.53,0.42,0.135,0.6395,0.2895,0.1245,0.172,10
8898,F,0.58,0.465,0.155,0.9715,0.3915,0.185,0.275,10
8899,I,0.395,0.305,0.115,0.3055,0.13,0.061,0.1095,8
8900,I,0.54,0.42,0.135,0.812,0.3475,0.1575,0.2785,10
8901,I,0.505,0.385,0.125,0.5205,0.2715,0.12,0.1685,9
8902,I,0.385,0.285,0.08,0.243,0.096,0.0465,0.08,7
8903,I,0.565,0.44,0.135,0.799,0.3305,0.2195,0.23,10
8904,F,0.515,0.375,0.11,0.5805,0.2865,0.0915,0.146,8
8905,I,0.515,0.395,0.125,0.5585,0.244,0.13,0.171,9
8906,I,0.255,0.19,0.065,0.0865,0.0345,0.018,0.025,4
8907,M,0.58,0.445,0.15,0.8155,0.3835,0.1725,0.2465,8
8908,I,0.29,0.215,0.07,0.121,0.0475,0.047,0.035,7
8909,I,0.575,0.445,0.135,0.7905,0.3525,0.196,0.239,9
8910,M,0.56,0.455,0.155,0.926,0.3835,0.1635,0.28,10
8911,M,0.62,0.47,0.145,1.1145,0.564,0.2385,0.32,10
8912,I,0.45,0.36,0.125,0.498,0.2105,0.093,0.1405,7
8913,I,0.335,0.255,0.08,0.156,0.0575,0.0305,0.07,6
8914,F,0.545,0.4,0.11,0.778,0.368,0.215,0.235,8
8915,M,0.58,0.445,0.16,0.812,0.3325,0.16,0.25,12
8916,M,0.615,0.475,0.155,1.047,0.4315,0.276,0.315,10
8917,M,0.55,0.435,0.175,0.906,0.3465,0.2095,0.275,14
8918,M,0.57,0.46,0.145,0.8435,0.3925,0.2245,0.23,8
8919,I,0.575,0.45,0.14,0.868,0.429,0.2155,0.234,9
8920,I,0.545,0.405,0.12,0.6725,0.2785,0.1455,0.205,9
8921,F,0.55,0.435,0.14,0.793,0.341,0.1775,0.22,15
8922,M,0.61,0.485,0.155,1.038,0.4155,0.238,0.29,8
8923,F,0.63,0.48,0.155,1.2085,0.5475,0.2675,0.325,9
8924,F,0.455,0.335,0.115,0.385,0.159,0.082,0.1435,7
8925,I,0.455,0.35,0.11,0.4195,0.181,0.08,0.11,7
8926,F,0.61,0.47,0.16,1.1155,0.5525,0.2555,0.305,10
8927,I,0.475,0.37,0.1,0.5805,0.2735,0.0925,0.14,8
8928,M,0.645,0.515,0.17,1.4385,0.6715,0.3665,0.375,19
8929,M,0.58,0.45,0.155,0.964,0.3865,0.1815,0.24,11
8930,F,0.54,0.425,0.125,0.775,0.4095,0.179,0.2445,9
8931,I,0.455,0.345,0.13,0.4485,0.1755,0.0815,0.16,8
8932,I,0.565,0.44,0.135,0.7125,0.4595,0.1365,0.215,9
8933,I,0.545,0.435,0.12,0.7495,0.285,0.1425,0.16,10
8934,I,0.505,0.415,0.135,0.5585,0.215,0.1205,0.17,9
8935,F,0.68,0.55,0.185,1.6125,0.7305,0.3645,0.4525,10
8936,I,0.405,0.3,0.11,0.368,0.1685,0.0755,0.11,12
8937,I,0.255,0.19,0.06,0.08,0.0345,0.0135,0.03,5
8938,F,0.6,0.465,0.15,0.9115,0.4625,0.1815,0.26,10
8939,I,0.3,0.22,0.08,0.1295,0.0545,0.031,0.026,5
8940,F,0.585,0.45,0.15,1.096,0.3945,0.207,0.31,20
8941,M,0.61,0.47,0.145,1.0165,0.4935,0.2175,0.2875,8
8942,M,0.67,0.53,0.19,1.3905,0.6425,0.2995,0.3725,11
8943,M,0.475,0.36,0.1,0.452,0.191,0.086,0.13,9
8944,M,0.485,0.395,0.135,0.622,0.2125,0.1445,0.185,14
8945,M,0.665,0.505,0.185,1.3475,0.5885,0.3325,0.395,11
8946,M,0.565,0.45,0.145,0.8295,0.3265,0.1905,0.2475,9
8947,I,0.38,0.29,0.09,0.3245,0.1305,0.053,0.08,7
8948,I,0.51,0.39,0.11,0.636,0.3165,0.1555,0.2,10
8949,F,0.58,0.44,0.135,0.88,0.4195,0.1965,0.23,9
8950,F,0.675,0.52,0.165,1.5175,0.7775,0.299,0.358,9
8951,F,0.645,0.515,0.18,1.5595,0.732,0.2915,0.435,11
8952,M,0.5,0.355,0.135,0.543,0.2535,0.1505,0.1525,8
8953,M,0.455,0.345,0.11,0.4195,0.1795,0.098,0.135,8
8954,I,0.36,0.27,0.1,0.219,0.0925,0.038,0.065,7
8955,I,0.52,0.39,0.13,0.5735,0.246,0.123,0.168,10
8956,M,0.67,0.53,0.18,1.494,0.6645,0.2635,0.44,11
8957,I,0.335,0.225,0.06,0.1655,0.063,0.0335,0.036,5
8958,I,0.515,0.39,0.115,0.6355,0.2525,0.1365,0.1685,9
8959,F,0.605,0.485,0.19,1.1445,0.4305,0.2575,0.42,13
8960,I,0.58,0.45,0.16,0.989,0.3525,0.221,0.2665,12
8961,F,0.695,0.55,0.175,1.52,0.637,0.325,0.3685,10
8962,F,0.5,0.375,0.115,0.5915,0.233,0.1315,0.18,9
8963,M,0.575,0.47,0.175,0.9905,0.453,0.245,0.345,11
8964,M,0.5,0.405,0.155,0.7245,0.243,0.139,0.235,13
8965,I,0.57,0.45,0.13,0.794,0.3535,0.1415,0.239,8
8966,M,0.625,0.47,0.18,1.0815,0.4865,0.2195,0.3195,9
8967,I,0.435,0.335,0.11,0.411,0.1945,0.093,0.1,7
8968,I,0.49,0.38,0.155,0.632,0.2815,0.144,0.1955,8
8969,F,0.625,0.495,0.17,1.2215,0.4595,0.2955,0.39,12
8970,M,0.5,0.4,0.145,0.7165,0.2745,0.1565,0.22,9
8971,F,0.475,0.365,0.12,0.4425,0.2055,0.0795,0.1395,9
8972,F,0.645,0.5,0.15,1.1635,0.4895,0.2665,0.32,10
8973,M,0.635,0.515,0.19,1.3425,0.4765,0.3255,0.395,11
8974,M,0.6,0.475,0.175,1.072,0.382,0.217,0.37,10
8975,I,0.45,0.34,0.125,0.411,0.2025,0.059,0.103,7
8976,I,0.44,0.335,0.11,0.38,0.1895,0.0625,0.1185,8
8977,M,0.635,0.49,0.155,1.137,0.5265,0.2285,0.288,9
8978,F,0.61,0.475,0.175,1.1445,0.4305,0.2245,0.385,16
8979,F,0.605,0.45,0.16,0.7715,0.358,0.15,0.215,10
8980,M,0.66,0.52,0.175,1.543,0.7525,0.2825,0.374,11
8981,I,0.325,0.245,0.08,0.2015,0.096,0.0475,0.05,9
8982,M,0.405,0.315,0.11,0.3125,0.1455,0.0755,0.105,7
8983,I,0.455,0.35,0.105,0.4665,0.1735,0.073,0.13,7
8984,I,0.32,0.23,0.085,0.131,0.05,0.0265,0.039,6
8985,F,0.6,0.475,0.175,1.3905,0.631,0.3375,0.38,13
8986,M,0.57,0.445,0.15,0.983,0.4535,0.2445,0.2765,10
8987,F,0.35,0.265,0.085,0.1855,0.0745,0.0415,0.06,10
8988,F,0.6,0.45,0.155,0.8265,0.3525,0.1725,0.275,10
8989,I,0.45,0.32,0.105,0.4135,0.1815,0.092,0.11,8
8990,I,0.525,0.39,0.135,0.567,0.2315,0.1465,0.17,9
8991,M,0.59,0.455,0.145,0.974,0.4625,0.2295,0.27,9
8992,I,0.4,0.31,0.12,0.271,0.09675,0.0455,0.085,7
8993,F,0.625,0.515,0.175,1.3485,0.6115,0.2565,0.342,9
8994,I,0.185,0.125,0.06,0.0265,0.0155,0.0065,0.008,6
8995,F,0.6,0.465,0.16,1.0145,0.4255,0.2235,0.3285,10
8996,F,0.585,0.455,0.155,0.9145,0.4145,0.199,0.273,9
8997,I,0.35,0.26,0.09,0.215,0.098,0.051,0.06,6
8998,I,0.455,0.35,0.115,0.444,0.215,0.0815,0.1185,8
8999,M,0.68,0.545,0.175,1.564,0.7125,0.4085,0.425,11
9000,F,0.735,0.585,0.175,1.8445,0.8765,0.3645,0.3745,10
9001,F,0.6,0.475,0.165,1.0265,0.485,0.2455,0.33,9
